[༄༅། །​རྡོ་རྗེ་ཁྲོ་བོ་གཏུམ་པོ་ལྷ་ལྔ་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།༄༅༅། །​_50_],༄༅། །​རྡོ་རྗེ་ཁྲོ་བོ་གཏུམ་པོ་ལྷ་ལྔ་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།༄༅༅། །​_50_,༄༅། །​རྡོ་རྗེ་ཁྲོ་བོ་གཏུམ་པོ་ལྷ་ལྔ་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།༄༅༅། །​_50_,༄༅། །​རྡོ་རྗེ་ཁྲོ་བོ་གཏུམ་པོ་ལྷ་ལྔ་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།༄༅༅། །​_50_,༄༅༅། །​_25_,༄༅༅། །​_25_,༄༅། །​_12_,། །​༄༅༅། །​_12_
[བྱིན་_100_],བྱིན་_100_,བྱིན་_100_,བྱིན་_100_,བྱིན་_100_,བྱིན་_100_,བྱིན་_100_,བྱིན་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[བྱིན་_100_],བྱིན་_100_,བྱིན་_100_,བྱིན་_100_,བྱིན་_100_,བྱིན་_100_,བྱིན་_100_,བྱིན་_100_
[ལྟས་_100_],ལྟས་_100_,ལྟས་_100_,ལྟས་_100_,ལྟས་_100_,ལྟས་_100_,ལྟས་_100_,ལྟས་_100_
[ཀྱང་_100_],ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_
[བརྟག _100_],བརྟག _100_,བརྟག _100_,བརྟག _100_,བརྟག _100_,བརྟག _100_,བརྟག _100_,བརྟག _100_
[།​_100_],།​_100_,།​_100_,།​_100_,།​_100_,།​_100_,།​_100_,།​_100_
[ཕན་_100_],ཕན་_100_,ཕན་_100_,ཕན་_100_,ཕན་_100_,ཕན་_100_,ཕན་_100_,ཕན་_100_
[ཚུན་_100_],ཚུན་_100_,ཚུན་_100_,ཚུན་_100_,ཚུན་_100_,ཚུན་_100_,ཚུན་_100_,ཚུན་_100_
[མང་_87_],མང་_87_,མང་_87_,མང་_87_,མང་_87_,མང་_87_,མ་_12_,མང་_87_
[ཉུང་_100_],ཉུང་_100_,ཉུང་_100_,ཉུང་_100_,ཉུང་_100_,ཉུང་_100_,ཉུང་_100_,ཉུང་_100_
[ཨུཏྤལ་_100_],ཨུཏྤལ་_100_,ཨུཏྤལ་_100_,ཨུཏྤལ་_100_,ཨུཏྤལ་_100_,ཨུཏྤལ་_100_,ཨུཏྤལ་_100_,ཨུཏྤལ་_100_
[ཁ_100_],ཁ_100_,ཁ_100_,ཁ_100_,ཁ_100_,ཁ_100_,ཁ_100_,ཁ_100_
[། །​_87_],། །​_87_,། །​_87_,། །​_87_,། །​_87_,། །​_87_,། །​ _12_,། །​_87_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[བཛྲ་_100_],བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_
[པཱ་_75_],པཱ་_75_,པ་_25_,པ་_25_,པཱ་_75_,པཱ་_75_,པཱ་_75_,པཱ་_75_
[ཎི་_100_],ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_
[པུཥྤ་_87_],པུཥྤ་_87_,པུཥྤ་_87_,པུཥྤ་_87_,པུཥྤ་_87_,པུཥྤ་_87_,པུཏྠ་_12_,པུཥྤ་_87_
[པཱུ་_100_],པཱུ་_100_,པཱུ་_100_,པཱུ་_100_,པཱུ་_100_,པཱུ་_100_,པཱུ་_100_,པཱུ་_100_
[ཛ་_100_],ཛ་_100_,ཛ་_100_,ཛ་_100_,ཛ་_100_,ཛ་_100_,ཛ་_100_,ཛ་_100_
[ཧཱུཾ། །​_75_],ཧཱུཾ། །​_75_,ཧཱུཾ། །​_75_,ཧཱུཾ། །​_75_,ཧཱུཾ། །​_75_,ཧཱུཾ། །​_75_,ཧཱུྃ། །​ _12_,ཧཱུཾ། _12_
[སྔགས་_100_],སྔགས་_100_,སྔགས་_100_,སྔགས་_100_,སྔགས་_100_,སྔགས་_100_,སྔགས་_100_,སྔགས་_100_
[དེར་_100_],དེར་_100_,དེར་_100_,དེར་_100_,དེར་_100_,དེར་_100_,དེར་_100_,དེར་_100_
[བསྐྱར་_75_],བསྐྱར་_75_,སྐྱར་_25_,སྐྱར་_25_,བསྐྱར་_75_,བསྐྱར་_75_,བསྐྱར་_75_,བསྐྱར་_75_
[ཞིང་_100_],ཞིང་_100_,ཞིང་_100_,ཞིང་_100_,ཞིང་_100_,ཞིང་_100_,ཞིང་_100_,ཞིང་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
