[༄༅། །​ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_],༄༅། །​ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅། །​ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅། །​ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅། །​ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅༅། །​_12_,བཅོམ་ལྡན་འདས་ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས་ལས་ཚོགས་རྗེས་གནང་དང་བཅས་པའི་སྐོར་རྣམས་བཞུགས་སོ། །​༄༅། །​_12_,༄༅། །​_12_
[སྭཱ་_100_],སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_
[ཧཱ_100_],ཧཱ_100_,ཧཱ_100_,ཧཱ_100_,ཧཱ_100_,ཧཱ_100_,ཧཱ_100_,ཧཱ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[ལ་ཨོཾ་ཨཱཿབིགྷྣཱནྟ་ཀྲིཏ་ཧཱུཾ་ཕཊ་ཅེས་བརྗོད་པས་ཕྱོགས་བཅུའི་བགེགས་ཐམས་ཅད་བསལ་བར་_50_],ལ་ཨོཾ་ཨཱཿབིགྷྣཱནྟ་ཀྲིཏ་ཧཱུཾ་ཕཊ་ཅེས་བརྗོད་པས་ཕྱོགས་བཅུའི་བགེགས་ཐམས་ཅད་བསལ་བར་_50_,ལ་ཨོཾ་ཨཱཿབིགྷྣན་ཏ་ཀྲིད་ཧཱུཾ་ཕཊ་ཅེས་བརྗོད་ཕྱོགས་བཅུའི་བགེགས་ཐམས་ཅད་བསལ་བར་_12_,ལ་ཨོཾ་ཨཱཿབིགྷྣན་ཏ་ཀྲྀད་ཧཱུཾ་ཕཊ་ཅེས་བརྗོད་ཕྱོགས་བཅུའི་བགེགས་ཐམས་ཅད་བསལ་བར་_12_,ལ་ཨོཾ་ཨཱཿབིགྷྣཱནྟ་ཀྲིཏ་ཧཱུཾ་ཕཊ་ཅེས་བརྗོད་པས་ཕྱོགས་བཅུའི་བགེགས་ཐམས་ཅད་བསལ་བར་_50_,ལ་ཨོཾ་ཨཱཿབིགྷྣཱནྟ་ཀྲིཏ་ཧཱུཾ་ཕཊ་ཅེས་བརྗོད་པས་ཕྱོགས་བཅུའི་བགེགས་ཐམས་ཅད་བསལ་བར་_50_,ལ། ཨོཾ་ཨཱཿབིགྷཱནྟ་ཀྲིཏ་ཧཱུཾ་ཕཊ། ཅེས་བརྗོད་པས་ཕྱོགས་བཅུའི་བགེགས་ཐམས་ཅད་བསལ་བར་_12_,ལ་ཨོཾ་ཨཱཿབར་_12_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_,བྱའོ_100_,བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​དེ་ནས་_62_],། །​དེ་ནས་_62_,། །​དེས་ན་_25_,། །​དེས་ན་_25_,། །​དེ་ནས་_62_,། །​དེ་ནས་_62_,། །​དེ་ནས་_62_,། །​་དེ་ནས་_12_
[བྱམས་_100_],བྱམས་_100_,བྱམས་_100_,བྱམས་_100_,བྱམས་_100_,བྱམས་_100_,བྱམས་_100_,བྱམས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
