[༄། །​སྦྱོར་བ་བརྒྱ་བ་བཞུགས།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_57_],༄། །​སྦྱོར་བ་བརྒྱ་བ་བཞུགས།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_57_,༄། །​སྦྱོར་བ་བརྒྱ་བ་བཞུགས།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_57_,༄། །​སྦྱོར་བ་བརྒྱ་བ་བཞུགས།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_57_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_14_,༄༅། །​རྒྱ་གར་སྐད་དུ། ཡོག་ཤཏཀ   _14_,རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_14_
[སླེ་_100_],སླེ་_100_,སླེ་_100_,སླེ་_100_,སླེ་_100_,སླེ་_100_,སླེ་_100_
[ཏྲེས་_100_],ཏྲེས་_100_,ཏྲེས་_100_,ཏྲེས་_100_,ཏྲེས་_100_,ཏྲེས་_100_,ཏྲེས་_100_
[གླ་_71_],གླ་_71_,སླ་_28_,སླ་_28_,གླ་_71_,གླ་_71_,གླ་_71_
[སྒང་_100_],སྒང་_100_,སྒང་_100_,སྒང་_100_,སྒང་_100_,སྒང་_100_,སྒང་_100_
[བྱི་_100_],བྱི་_100_,བྱི་_100_,བྱི་_100_,བྱི་_100_,བྱི་_100_,བྱི་_100_
[ཚེར་_100_],ཚེར་_100_,ཚེར་_100_,ཚེར་_100_,ཚེར་_100_,ཚེར་_100_,ཚེར་_100_
[བཅའ་_100_],བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_
[སྒ་_100_],སྒ་_100_,སྒ་_100_,སྒ་_100_,སྒ་_100_,སྒ་_100_,སྒ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། །​_85_],། །​_85_,། །​_85_,། །​_85_,། །​_85_,། །​ _14_,། །​_85_
[བྱི་_100_],བྱི་_100_,བྱི་_100_,བྱི་_100_,བྱི་_100_,བྱི་_100_,བྱི་_100_
[ཚེར་_100_],ཚེར་_100_,ཚེར་_100_,ཚེར་_100_,ཚེར་_100_,ཚེར་_100_,ཚེར་_100_
[གླ་_100_],གླ་_100_,གླ་_100_,གླ་_100_,གླ་_100_,གླ་_100_,གླ་_100_
[སྒང་ཏིག་ཏ་པརྤ་ཏ། །​བ་ཤཀ་_57_],སྒང་ཏིག་ཏ་པརྤ་ཏ། །​བ་ཤཀ་_57_,སྒང་ཏིཀྟ་པརྦ་ཊ། བཱ་སཱ་_28_,སྒང་ཏིཀྟ་པརྦ་ཊ། བཱ་སཱ་_28_,སྒང་ཏིག་ཏ་པརྤ་ཏ། །​བ་ཤཀ་_57_,སྒང་ཏིག་ཏ་པརྤཏ། །​ བ་ཤ་ཀ་_14_,སྒང་ཏིག་ཏ་པརྤ་ཏ། །​བ་ཤཀ་_57_
[བྱི་_100_],བྱི་_100_,བྱི་_100_,བྱི་_100_,བྱི་_100_,བྱི་_100_,བྱི་_100_
[ཚེར་_100_],ཚེར་_100_,ཚེར་_100_,ཚེར་_100_,ཚེར་_100_,ཚེར་_100_,ཚེར་_100_
[བཅའ་_100_],བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_
[སྒ་_100_],སྒ་_100_,སྒ་_100_,སྒ་_100_,སྒ་_100_,སྒ་_100_,སྒ་_100_
[གླ་_100_],གླ་_100_,གླ་_100_,གླ་_100_,གླ་_100_,གླ་_100_,གླ་_100_
[སྒང་_100_],སྒང་_100_,སྒང་_100_,སྒང་_100_,སྒང་_100_,སྒང་_100_,སྒང་_100_
[རྣམས_100_],རྣམས_100_,རྣམས_100_,རྣམས_100_,རྣམས_100_,རྣམས_100_,རྣམས_100_
[། །​_85_],། །​_85_,། །​_85_,། །​_85_,། །​_85_,། །​ _14_,། །​_85_
[བསྐོལ་_100_],བསྐོལ་_100_,བསྐོལ་_100_,བསྐོལ་_100_,བསྐོལ་_100_,བསྐོལ་_100_,བསྐོལ་_100_
[ཐང་རླུང་མཁྲིས་_85_],ཐང་རླུང་མཁྲིས་_85_,ཐང་རླུང་མཁྲིས་_85_,ཐང་རླུང་མཁྲིས་_85_,ཐང་རླུང་མཁྲིས་_85_,ཐང་_14_,ཐང་རླུང་མཁྲིས་_85_
[བད་_100_],བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_
[ཀན་_100_],ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_
[རིམས་_100_],རིམས་_100_,རིམས་_100_,རིམས་_100_,རིམས་_100_,རིམས་_100_,རིམས་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[བཏུང་_100_],བཏུང་_100_,བཏུང་_100_,བཏུང་_100_,བཏུང་_100_,བཏུང་_100_,བཏུང་_100_
[། །​_85_],། །​_85_,། །​_85_,། །​_85_,། །​_85_,། །​ _14_,། །​_85_
[ཀྵུ་_100_],ཀྵུ་_100_,ཀྵུ་_100_,ཀྵུ་_100_,ཀྵུ་_100_,ཀྵུ་_100_,ཀྵུ་_100_
[ཏྲ་_100_],ཏྲ་_100_,ཏྲ་_100_,ཏྲ་_100_,ཏྲ་_100_,ཏྲ་_100_,ཏྲ་_100_
[སླེ་_100_],སླེ་_100_,སླེ་_100_,སླེ་_100_,སླེ་_100_,སླེ་_100_,སླེ་_100_
[ཏྲེས་_100_],ཏྲེས་_100_,ཏྲེས་_100_,ཏྲེས་_100_,ཏྲེས་_100_,ཏྲེས་_100_,ཏྲེས་_100_
[བཅའ་_100_],བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_
[སྒ་པུཥྐ་རཽ། །​_57_],སྒ་པུཥྐ་རཽ། །​_57_,སྒ་པཥྐཽར། །​_28_,སྒ་པཥྐཽར། །​_28_,སྒ་པུཥྐ་རཽ། །​_57_,སྒ་པུཥྐརོ། །​ _14_,སྒ་པུཥྐ་རཽ། །​_57_
[བསྐོལ་_100_],བསྐོལ་_100_,བསྐོལ་_100_,བསྐོལ་_100_,བསྐོལ་_100_,བསྐོལ་_100_,བསྐོལ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_
[ཐང་_100_],ཐང་_100_,ཐང་_100_,ཐང་_100_,ཐང་_100_,ཐང་_100_,ཐང་_100_
[བྱས་_100_],བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_
[བད་_100_],བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_
[ཀན་_100_],ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_
