[༄༅། །​རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_30_],༄༅། །​རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_30_,༄༅། །​རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_30_,༄༅། །​རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_30_,རྒྱ་གར་སྐད་དུ། པིགྲ་ཧ་བྱ་བརྟ་ནི་བྲྀ་ནསྤྲ_15_,༄༅ །​ །​རྩོད་པ་བཟློག་པའི་འགྲེལ་པ། ས་ལུགས་དང་༄༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_7_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_15_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_15_,༄༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_15_,། །​ ༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_7_,༄༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_15_,རྒྱ་གར་སྐད་དུ། པིགྲ་ཧ་བྱ་བརྟ་ནི་བྲྀ་ནསྤྲ_15_,རྒྱ་གར་སྐད་དུ། བིགྲ་ཧ་བྱ་བ་རྟ་ནི་བྲྀ་ཏྟི_7_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_
[ནུས་_100_],ནུས་_100_,ནུས་_100_,ནུས་_100_,ནུས་_100_,ནུས་_100_,ནུས་_100_,ནུས་_100_,ནུས་_100_,ནུས་_100_,ནུས་_100_,ནུས་_100_,ནུས་_100_
[སོ_100_],སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_
[། །​_92_],། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​ _7_,། །​_92_,། །​_92_
[གལ་_100_],གལ་_100_,གལ་_100_,གལ་_100_,གལ་_100_,གལ་_100_,གལ་_100_,གལ་_100_,གལ་_100_,གལ་_100_,གལ་_100_,གལ་_100_,གལ་_100_
[ཏེ་_100_],ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_
[དངོས་_100_],དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ཐམས་_100_],ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_
[ཅད་_100_],ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_
[བཞིན་ནི་_76_],བཞིན་ནི་_76_,བཞིན་_15_,བཞིན་_15_,བཞིན་ནི་_76_,བཞིན་ནི་“_7_,བཞིན་ནི་_76_,བཞིན་ནི་_76_,བཞིན་ནི་_76_,བཞིན་ནི་_76_,བཞིན་ནི་_76_,བཞིན་ནི་_76_,བཞིན་ནི་_76_
[རྒྱུ་_100_],རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[རྐྱེན་_100_],རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[རྒྱུ་_100_],རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[རྐྱེན་_100_],རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_,རྐྱེན་_100_
[ཚོགས་_100_],ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
